"timestamp","mig","operation","job","numéro_du_cordon","numéro_de_pièce","numéro_de_serie_de_la_pièce","intensité","tension","vitessedévidage","Courant","Tension","Vitessededévidage","Tension_de_soudage","Vitesse_de_dévidage","Courant_de_soudage_MMA","Dynamique_MMA","CEL_intensité","CEL_dynamique","Intensité_I1_TIG","Courant_de_descente_TIG","TIG_balance","Valeur_commande_courant","Valeur_commande_dévidoir","TIG_courant_d'amoçage","TIG_courant_d'extinction","TIG_diamètre_d'électrode","TIG_rampe_amorçage","TIG_rampe_d'extinction","Correction_de_hauteur_d’arc","Courant_hotstart_MMA","CEL_Hostart_intensité","Correction_dynamique_pulsé","Dynamique","puissance","Stabilisateur_de_hauteur_d’arc_(PMC)","Stabilisateur_de_pénétration","énergie","intensité_moteur_3","intensité_moteur_2","Intensité_moteur_3","M1_courant_moteur","M2_courant_moteur","M3_courant_moteur","Pression_du_crossjet","débit_eau","MIG_gaz_rv","MIG_gaz_rv_2","Gaz_total_consommé","température_eau","Heures_activation_débit","Heures_générateur_ON"
"2025-04-11 11:30:02.391595","MIG CMT","op 10 -new2","0685","9100.0",NULL,NULL,"130","14.7","4.5","127","15.4",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","2.4","0","0","2.3","0","0",NULL,"0","0",NULL,NULL,"0",NULL,NULL,"286000","30","285.3","11625.3"
"2025-04-11 11:30:41.610484","MIG CMT","op 10 -new2","0685","9100.0",NULL,NULL,"130","14.7","4.5","127","15.4",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","2.4","0","0","2.3","0","0",NULL,"0","0",NULL,NULL,"0",NULL,NULL,"286000","29","285.3","11625.3"
"2025-04-11 11:31:03.269704","MIG CMT","op 10 -new2","0685","9100.0",NULL,NULL,"130","14.7","4.5","127","15.4",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","2.4","0","0","2.3","0","0",NULL,"0","0",NULL,NULL,"0",NULL,NULL,"286000","29","285.3","11625.4"
"2025-04-11 11:32:04.20483","MIG CMT","C4682 ENS07","0098","9100.0",NULL,NULL,"209","17","9.5","184","17.5",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","-2","0","3.9","0","0","12.5","1.42","0.32",NULL,"4","6",NULL,NULL,"0",NULL,NULL,"286000","29","285.3","11625.4"
"2025-04-11 11:32:08.533147","MIG CMT","C8224 ENS07","0111","9101.0",NULL,NULL,"80","9.3","2.8","165","17.1",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","3.1","0","0","2.1","1.23","0.29",NULL,"2","6",NULL,NULL,"1.28",NULL,NULL,"286000","29","285.3","11625.4"
"2025-04-11 11:32:12.930231","MIG CMT","C8224 ENS07","0111","9102.0",NULL,NULL,"194","16.6","7.8","165","17.1",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","3.4","0","0","4.6","1.43","0.26",NULL,"3","5",NULL,NULL,"1.15",NULL,NULL,"286003","29","285.3","11625.4"
"2025-04-11 11:32:17.461781","MIG CMT","C8224 ENS07","0111","9103.0",NULL,NULL,"184","16.4","8.2","165","17.1",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","0","0","0","0","0","0.16",NULL,"0","4",NULL,NULL,"1.07",NULL,NULL,"286003","29","285.3","11625.4"
"2025-04-11 11:32:22.094466","MIG CMT","C8224 ENS07","0111","9103.0",NULL,NULL,"182","16.3","8.1","165","17.1",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","3.3","0","0","12.3","0.02","0.16",NULL,"0","0",NULL,NULL,"1.05",NULL,NULL,"286003","29","285.3","11625.4"
"2025-04-11 11:32:26.502012","MIG CMT","C8224 ENS07","0111","9104.0",NULL,NULL,"182","16.2","8","165","17.1",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","3.3","0","0","12.3","0","0.16",NULL,"0","0",NULL,NULL,"1.04",NULL,NULL,"286003","29","285.3","11625.4"
"2025-04-11 11:32:35.314675","MIG CMT","C1917 ENS07","0090","9106.0",NULL,NULL,"251","16.6","11.9","240","18.5",NULL,"10","10","10","20","10","50","50","25","35","50","5","25","15","2.4","0.5","1","0","15","13","0","0","4.4","0","0","16.2","1.53","0.28",NULL,"4","5",NULL,NULL,"1.02",NULL,NULL,"286006","29","285.3","11625.4"
